ds,trend,weekly,yearly
2016-04-25,1200.0,0.0,18.22337270665326
2016-04-26,1204.4444444444443,46.909888948081786,18.07892385844802
2016-04-27,1208.888888888889,58.495674730909414,17.92912516581115
2016-04-28,1213.3333333333333,26.033024347053495,17.77402095658583
2016-04-29,1217.7777777777778,-26.03302434705348,17.613657128602952
2016-04-30,1222.2222222222222,-58.495674730909414,17.448081136099226
2016-05-01,1226.6666666666667,-46.90988894808179,17.277341975674698
2016-05-02,1231.111111111111,0.0,17.101490171793866
2016-05-03,1235.5555555555557,46.909888948081786,16.92057776183468
2016-05-04,1240.0,58.495674730909414,16.734658280689843
2016-05-05,1244.4444444444443,26.033024347053495,16.543786744924994
2016-05-06,1248.888888888889,-26.03302434705348,16.34801963649838
2016-05-07,1253.3333333333333,-58.495674730909414,16.147414886046985
2016-05-08,1257.7777777777778,-46.90988894808179,15.942031855743885
2016-05-09,1262.2222222222222,0.0,15.731931321732041
2016-05-10,1266.6666666666667,46.909888948081786,15.517175456139656
2016-05-11,1271.111111111111,58.495674730909414,15.297827808682449
2016-05-12,1275.5555555555557,26.033024347053495,15.073953287858279
2016-05-13,1280.0,-26.03302434705348,14.84561814173964
2016-05-14,1284.4444444444443,-58.495674730909414,14.612889938369833
2016-05-15,1288.888888888889,-46.90988894808179,14.375837545768464
2016-05-16,1293.3333333333333,0.0,14.134531111552315
2016-05-17,1297.7777777777778,46.909888948081786,13.889042042177525
2016-05-18,1302.2222222222222,58.495674730909414,13.639442981809257
2016-05-19,1306.6666666666667,26.033024347053495,13.385807790825135
2016-05-20,1311.111111111111,-26.03302434705348,13.128211523958761
2016-05-21,1315.5555555555557,-58.495674730909414,12.866730408089834
2016-05-22,1320.0,-46.90988894808179,12.601441819687373
